,High,Phat_High_upper,Phat_High_lower,Low,Phat_Low_upper,Phat_Low_lower,Close,Order_Placed,Order_Price_Short,Order_Price_Long,Order_Success_Short,Order_Success_Long,Trade_Price_Short,Trade_Price_Long,Transaction,Cash,Position,Balance
2016-05-04,39.22384005865639,42.4474637799523,39.524485253404,38.60614236982222,40.54983491773136,38.02265653736853,38.721961975097656,False,38.84799239503837,41.15238926823054,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-05,38.56753417558257,40.927852645693676,37.574367031100884,38.02704763033247,39.82958579183162,37.34114858047084,38.18147277832031,False,39.524485253404,40.54983491773136,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-06,38.104264793581336,40.00758319547167,36.88350331039642,37.3321418762207,39.229232225233105,36.81262139136934,37.3321418762207,False,37.574367031100884,39.82958579183162,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-09,37.9884481728586,39.73205705853525,36.648073127869154,37.370750427246094,38.50812161313351,36.11438142452568,37.370750427246094,False,36.88350331039642,39.229232225233105,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-10,37.756810823598734,39.28952221526022,36.45596560522095,37.33214087411761,38.55440291121393,36.27657570914524,37.6409912109375,False,36.648073127869154,38.50812161313351,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-11,37.718205829464274,39.20908999888672,36.50821313434026,37.21632766723633,38.41887480750357,36.25982048045052,37.21632766723633,False,36.45596560522095,38.55440291121393,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-12,37.37074230602178,38.888693546108826,36.36987265601097,36.67583065233798,38.24318811941331,36.19378808817114,36.907466888427734,False,36.50821313434026,38.41887480750357,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-13,36.83026992203774,38.542593287446145,36.15971271555729,36.32838876344337,37.658113335759786,35.63128394937177,36.521419525146484,False,36.36987265601097,38.24318811941331,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-16,37.25493265408652,37.95246010987428,35.592990965942654,36.63723487792048,37.303107908442655,35.3554457449895,37.02329635620117,False,36.15971271555729,37.658113335759786,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-17,38.142878103396214,38.42130951355927,36.102516356793785,37.100510266327845,37.64443331037098,35.72911712375493,37.98845291137695,False,35.592990965942654,37.303107908442655,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-18,37.79541963711711,39.5005073226084,36.94191763797992,37.33214409195532,38.09825170403824,36.17550675814052,37.44796371459961,False,36.102516356793785,37.64443331037098,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-19,38.72363063149499,39.04808414635444,36.62406475681535,37.97819330500614,38.271837699590826,36.41087507535887,38.645164489746094,False,36.94191763797992,38.09825170403824,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-20,38.56670768331258,40.027895115281495,37.44217678624061,38.056668658612246,39.02582363001623,37.043039286364206,38.21360397338867,False,36.62406475681535,38.271837699590826,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-23,38.13512995585122,39.84689297718861,37.401249346221164,37.66432706485721,38.99103720805207,37.100269774962605,37.82126235961914,False,37.44217678624061,39.02582363001623,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-24,38.174369558170504,39.254931319894766,36.900533539383765,37.58586439330637,38.55663623889981,36.714076061781995,38.05666732788086,False,37.401249346221164,38.99103720805207,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-25,39.54754447916868,39.4083431583189,37.11290699297042,38.8413371518189,38.4809187878791,36.722147595638994,39.50830841064453,False,36.900533539383765,38.55663623889981,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-26,39.979119177757546,40.951509999428154,38.20459466639977,39.46908015754738,40.14556338522568,37.792921730843005,39.90065002441406,False,37.11290699297042,38.4809187878791,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-27,40.13605449115238,41.543569133033266,38.78281996549186,39.547549310890865,40.66206108243025,38.30920795887844,39.90065002441406,False,38.20459466639977,40.14556338522568,0,0,0.0,0.0,0.0,0.0,0,0.0
